,Title,Year,Page Number,Subject
943,"  Vicksburg National Cemetery, Vicksburg, Miss. Communication from the President of the United States transmitting supplemental estimate of appropriation for the War Department for the fiscal year ending June 30, 1926, to remain available until June 30, 1927, for resurfacing and paving the approach road to Vicksburg National Cemetery ... April 19, 1926. -- Referred to the Committee on Appropriations and ordered to be printed.",1926,94.0,Construction
944,"  Elimination of grade crossings of steam railroads in the District of Columbia. February 21, 1921. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1927,94.0,Construction
945,"  Highway from Red Lodge, Mont., to Cooke City, Mont. February 25, 1927. -- Ordered to be printed.",1927,94.0,Construction
946,"  John G. Sessions. May 26 (calendar day, May 27), 1926. -- Ordered to be printed.",1926,94.0,Construction
947,"  In Senate of the United States, April 28, 1830. Read, and ordered to be printed. Mr. Bibb made the following report : The Committee on the Post Office and Post Roads, of the Senate, to whom was referred the petition of Thomas Rhodes, respectfully report: That, on the 17th June, 1828, the Postmaster General advertised for proposals for carrying the mails between Mobile and New Orleans thrice a week for four years. On the 16th August, 1828, Thomas Rhodes made his proposals ...",1830,94.0,Construction
948,"  Gagnon & Co. (Inc.). May 10 (calendar day, May 13), 1926. -- Ordered to be printed.",1926,94.0,Construction
949,  Propeller design. IV. A simple method for determining the strength of propellers,1926,94.0,Construction
950,  Adaptation of aeronautical engines to high altitude flying,1923,95.0,Construction
951,"  Second Pan American Conference on Highways. Message from the President of the United States transmitting report from the Secretary of State, with accompanying papers, to the end that legislation may be enacted authorizing an appropriation of $ 15,000 to enable the United States to participate in the second Pan American Conference on Highways ... January 8, 1927. -- Referred to the Committee on Foreign Affairs and ordered to be printed.",1927,95.0,Construction
952,"  Routes from the western boundary of Arkansas to Santa Fe and the valley of the Rio Grande. Letter from the Secretary of War, in answer to a resolution of the House of Representatives of the 6th instant, relative to the routes from the western boundary of Arkansas to Santa Fe and the valley of the Rio Grande. May 16, 1850. Laid upon the table, and ordered to be printed.",1850,95.0,Construction
953,"  Juan Anorbe. June 4, 1926. -- Ordered to be printed.",1926,95.0,Construction
954,"  Easement to the City of New York to certain lands for highway purposes. June 5, 1926. -- Ordered to be printed.",1926,95.0,Construction
955,"  Widening of C. Street NE. February 21, 1927. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1927,95.0,Construction
956,"  The Telephone service of H. M. Post Office. A description of the new trunk line exchange at Carter Lane, London, E.C..",1904,95.0,Construction
957,"  Authorizing an appropriation from the tribal funds of the Chippewa Indians of Minnesota for the construction of a road on the Leech Lake Reservation. April 2, 1926. -- Ordered to be printed.",1926,95.0,Construction
958,"  An apology for the builder, or, A discourse shewing the cause and effects of the increase of building",1685,95.0,Construction
959,"  Granting right of way to County of Imperial, State of California, over certain public lands for highway purposes. March 1, 1927. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1927,95.0,Construction
962,"  In Senate of the United States. December 22, 1840. Submitted and ordered to be printed. Mr. Hubbard made the following report : (To accompany Bill S. No. 127.) The Committee of Claims, to whom was referred the petition of Walter Loomis and Abel Gay, with the accompanying papers, report ...",1840,96.0,Construction
963,"  Ship canal around the falls of Niagara and the Saut Ste. Marie. Resolution of the Legislature of Michigan, relative to the construction of a ship canal around the falls of Niagara and the Saut Ste. Marie. December 31, 1849. Laid upon the table, and ordered to be printed.",1849,96.0,Construction
964,"  In Senate of the United States, May 5, 1830. Read, and ordered to be printed. Mr. Hendricks made the following report : The Committee on Roads and Canals, to whom were referred a Resolution of the Senate, and a memorial of many citizens of Allen County, in the State of Indiana, asking a donation of land for the construction of a road from Lawrenceburg, by way of Fort Wayne, to the southern bend of the St. Joseph's of Lake Michigan, report ...",1830,96.0,Construction
965,"  Roads, walks, wharves, and drainage. Communication from the President of the United States transmitting supplemental estimate of appropriation for the War Department for the fiscal year ending June 30, 1926, to remain available until June 30, 1927, for roads, walks, wharves, and drainage, $ 9,184. June 10, 1926. -- Referred to the Committee on Appropriations and ordered to be printed.",1926,96.0,Construction
966,"  A treatise on mathematical instruments : their construction, adjustment, testing, and use concisely explained",1871,96.0,Construction
967,"  Authorize an appropriation for a road on the Zuni Indian Reservation, N. Mex. February 14, 1927. -- Ordered to be printed.",1927,96.0,Construction
970,"  Claim of McLennan County, Tex. March 31, 1926. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1926,97.0,Construction
972,"  Construction of a road on the Leech Lake Reservation from the tribal funds of the Chippewa Indians of Minnesota. March 18, 1926. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1926,97.0,Construction
973,"  [Advertisement for Penny's double-action window sash & frame, approximately 1885].",1885,97.0,Construction
976,"  Second Pan American Conference on Highways. January 21, 1927. -- Ordered to be printed.",1927,97.0,Construction
977,"  Report of the select committee to which was referred, on the 3d ultimo, a memorial of the General Assembly of Illinois upon the subject of a canal communication between the Illinois River and Lake Michigan, accompanied with a bill to aid the State of Illinois in the accomplishment of the same. February 1, 1825. Read, and, with the bill, committed to a Committee of the Whole House.",1825,97.0,Construction
978,"  Thomas Sinnard. (To accompany Bill H.R. No. 370.) January 10, 1838.",1838,97.0,Construction
979,"  To cede to the City of New York certain land for highway purposes. May 11, 1926. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1926,97.0,Construction
980,"  Wagon road to Idaho. Resolutions of the Legislature of Iowa, in relation to the location and construction of a military road from Missouri River to Gallatin, in Idaho Territory. March 21, 1864. -- Referred to the Committee on Roads and Canals and ordered to be printed.",1864,98.0,Construction
981,"  Convey portions of military reservation to San Antonio, Tex. February 3, 1926. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1926,98.0,Construction
982,"  M. Barde & Sons (Inc.). April 16, 1926. -- Committed to the Committee of the Whole House and ordered to be printed.",1926,98.0,Construction
983,"  Authorizing an expenditure for the construction of a road on the Leech Lake Reservation. April 19 (calendar day, April 20), 1926. -- Ordered to be printed.",1926,98.0,Construction
984,"  In Senate of the United States, January 27, 1831. Read, and ordered to be printed. Mr. Hendricks made the following report : The Committee on Roads and Canals, to whom were referred numerously signed memorials, asking a donation of land for the construction of a road from Lawrenceburg, by way of Fort Wayne, to the southern bend of the St. Joseph's of Lake Michigan, report ...",1831,98.0,Construction
985,"  Francis A. Gibbons and Francis X. Kelly. (To accompany Bill C.C. No. 16.) July 25, 1856.",1856,98.0,Construction
987,"  Road through the Wyandot Reservation, &c. Letter from the Postmaster General, transmitting the information required by a resolution of the House of Representatives of the 8th inst. in relation to a road through the Wyandot Reservation, between Cincinnati and Portland, in the State of Ohio, &c. &c. January 21, 1828. Read, and referred to the Committee on Roads and Canals.",1828,98.0,Construction
988,"  Authorization of appropriation for Virgin Islands highways. February 10, 1927. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1927,98.0,Construction
989,"  Widening of C Street NE., in the District of Columbia. February 5, 1927. -- Ordered to be printed.",1927,98.0,Construction
990,"  Letter from the Secretary of War, transmitting a statement of payments made for labor upon roads, and other objects of fatigue duty, to soldiers of the United States' Army. From 1st October, 1817, to 1st October, 1818. January 15, 1819. Read, and ordered to lie upon the table.",1819,99.0,Construction
991,"  Resolution of the Legislature of Florida, in favor of a donation of land for the Alligator and Jacksonville plank road. February 18, 1851. Referred to the Committee on Public Lands, and ordered to be printed.",1851,99.0,Construction
993,"  Wagon road in Michigan and Wisconsin. Joint resolution of the Legislature of Michigan for grant of land for a wagon road. February 13, 1863. -- Referred to the Committee on Roads and Canals and ordered to be printed.",1863,99.0,Construction
994,"  Abel Gay. July 22, 1856. -- Committed to a Committee of the Whole House and ordered to be printed.",1856,99.0,Construction
995,"  Vacating certain streets and alleys within the area known as the Walter Reed General Hospital, District of Columbia, and authorizing the extension and widening of Fourteenth Street from Montague Street to its southern terminus south of Dahlia Street. April 5 (calendar day, April 12), 1926. -- Ordered to be printed.",1926,99.0,Construction
996,"  Military road across the Cascade Mountains. Memorial of the Legislative Assembly of Washington Territory, in relation to the military road across the Cascade Mountains. February 13, 1864. -- Referred to the Committee on Military Affairs, and ordered to be printed.",1864,99.0,Construction
998,"  Samuel McComb. (To accompany Bill H.R. No. 468.) January 25, 1838.",1838,99.0,Construction
999,"  Proceedings of the Board of Marine Inspectors of the Association of Lake Underwriters, held at Buffalo, August 1856.",1856,99.0,Construction
1000,  Plans and specifications of houses suitable for occupation by the working classes,1919,100.0,Construction
1002,"  Street railways their construction, operation, and maintenance (Trams) : a practical handbook for street railway men",1892,100.0,Construction
1003,"  Dam across Poteau River. May 26 (calendar day, May 27), 1926. -- Ordered to be printed.",1926,100.0,Construction
1004,"  La Plaisance Bay harbor. Letter from the Secretary of War, transmitting a report of a survey of La Plaisance Bay harbor in the Territory of Michigan. January 26, 1827. Read, and referred to the Committee on Commerce.",1827,100.0,Construction
1005,"  Prospectus of the Port Britain Harbour Company, situated in the township of Hope and county of Durham : incorporated under act of 16 Vic., cap. 124, An act to provide for the formation of joint stock companies for the construction of piers, wharves, dry docks and harbours.",1856,100.0,Construction
1006,  Minutes,1901,100.0,Construction
1015,  Circular : I am commanded by His Excellency the Administrator of the government .,1829,101.0,Construction
1016,"  Copy of opinion of Judge Mason, of the Supreme Court of New York, Samuel Sherwood and Marshall S. Bidwell, Councillors, on the legal construction of the 7 Vic. Cap. 34, submitted by the shareholders of the Welland Canal Company.",1852,101.0,Construction
1018,"  Contract specifications and an act : respecting the construction of the Quebec, Montreal, Ottawa and Occidental Railway--(late North Shore).",1876,101.0,Construction
1020,  Papers relating to the construction of wells for irrigation in the North-West Provinces,1883,102.0,Construction
1021,"  Extract from Board minutes, 27th July, 1860 (No.22). ""Resolved - that the engineer do report every month the progress and cost of works executed on several lines of sewers constructing for main drainage purposes."" ...",1860,102.0,Construction
1022,"  Engineer's second monthly report on progress of main drainage works. 2nd November, 1860.",1860,102.0,Construction
1023,"  Progress of main drainage works. Extract from Board minutes, 27th July, 1860 (No. 22). ""Resolved - that the engineer do report every month the progress and cost of works executed on the several lines of sewers constructing for main drainage purposes."" ...",1860,102.0,Construction
1024,"  Engineer's report on the progress of main drainage works. October, 1861.",1861,102.0,Construction
1025,  A Letter to the proprietors of the Thames Tunnel.,1832,102.0,Construction
1026,  Channel bridge : plans,1889,102.0,Construction
1028,  Handbook to the Forth Bridge...,1890,102.0,Construction
1030,"  Sheffield & Chesterfield Canals. Prospectus of a proposed junction, by a cross canal.",1832,103.0,Construction
1031,"  Essay on the construction of cottages suited for the dwellings of the labouring classes. For which the premium was voted by the Highland Society of Scotland. : Illustrated by working plans of single and combined cottages on different scales of accommodation and cost. Also with specifications, details and estimates.",1834,103.0,Construction
1034,"  Report of Samuel Keefer, civil engineer, to the president and directors of the Niagara Falls Suspension Bridge Company, and to the president and directors of the Clifton Suspension Bridge Company : Brockville, Ontario, March 1st, 1869.",1869,103.0,Construction
1035,"  Liste des actionnaires, 31 decembre 1875 : actions -- $100.00 chaque = List of shareholders, 31st December, 1875 : shares -- $100.00 each.",1876,103.0,Construction
1036,  Supplement to Captain Sir John Ross's Narrative of a second voyage in the Victory in search of a North-West Passage : containing the suppressed facts necessary to a proper understanding of the causes of the failure of the steam machinery of the Victory and a just appreciation of Captain Sir John Ross's character as an officer and a man of science,1849,103.0,Construction
1037,"  Supplement to Captain Sir John Ross's Narrative of a second voyage in the Victory, in search of a North-west Passage : containing the suppressed facts necessary to a proper understanding of the causes of the failure of the steam machinery of the Victory and a just appreciation of Sir John Ross's character as an officer and a man of science",1835,103.0,Construction
1038,"  The Northern Pacific Railroad : its land grant, resources, traffic and tributary country : valley route to the Pacific.",1873,103.0,Construction
1041,  Railways in New Brunswick : tracts issued by the Council of the Railway League.,1849,104.0,Construction
1042,  Speech of Mr. DeCosmos on the Pacific Railway route in British Columbia.,1878,104.0,Construction
1043,"  The railway in British Columbia : letter from E. Dewdney, Esq., M.P., to the Hon. A. Mackenzie, Premier of Canada.",1876,104.0,Construction
1044,  Speech of Mr. DeCosmos on the Pacific Railway.,1878,104.0,Construction
1045,"  Report in the matter of the division and adjustment of the debts and assets of Upper Canada and Lower Canada under the 142nd section of the British North America Act, 1867 : opinion and judgement of the arbitrator appointed by the government of Quebec, with the reason assigned for his withdrawal from the arbitration",1870,104.0,Construction
1046,"  Pacific Railway : speech delivered in the House of Commons, on Friday and Monday, 16th and 19th April, 1880",1880,104.0,Construction
1047,"  Report of the city engineer, Quebec, on the proposed improvements in the mouth of the river St. Charles",1875,104.0,Construction
1048,"  Description of the International Bridge, constructed over the Niagara River, near Fort Erie, Canada, and Buffalo, U.S. of America.",1873,104.0,Construction
1049,"  Explanation and answer to Mr. John Braithwaite's Supplement to Captain Sir John Ross's Narrative of a second voyage in the Victory, in search of a northwest passage",1835,104.0,Construction
1050,"  North Shore Railway : opinions of the engineer in chief, and of several Canadian engineers, respecting the specifications and character of the railway.",1873,105.0,Construction
1051,  General specification for the construction of the work,1873,105.0,Construction
1052,"  In the High Court of Justice Queen's Bench Division : between Conmee & McLennan, plaintiffs and the Canadian Pacific Railway Company, defendants : 33 mile contract ... pleadings, McCarthy, Osler, Hoskin & Creelman, plaintiffs' solicitors, Wells & MacMurchy, defendants' solicitors.",1889,105.0,Construction
1053,  Report from the select committee appointed to take into consideration the accounts and papers relating to the canal communications in Canada : 1832.,1832,105.0,Construction
1057,"  Missouri and Mississippi Railroad Company. Memorial of the Legislature of Missouri, asking a grant of land and the right of way through the public lands for the Missouri and Mississippi Railroad Company. February 6, 1850. Referred to Committee on Public Lands, and ordered to be printed.",1850,105.0,Construction
1058,"  Ordnance and ordnance stores  Naval Station, San Diego, Calif.  Navy Mine Depot, Yorktown, Va.  aviation, Navy. Communication from the President of the United States transmitting supplemental estimates of appropriation for the Navy Department for the fiscal year ending June 30, 1927, consisting of five items amounting to $ 2,027,000. December 22, 1926. -- Referred to the Committee on Appropriations and ordered to be printed.",1926,105.0,Construction
1059,"  Missouri and Mississippi Railroad Company. (To accompany Bill H.R. No. 408.) January 12, 1838.",1838,105.0,Construction
1060,"  Use of proceeds from sale of surplus War Department property. January 7, 1926. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1926,106.0,Construction
1061,"  Dry docks -- Portsmouth, N.H., Charlestown, Mass., &c. Message from the President of the United States, transmitting a report of an examination and survey which has been made of a site for a dry dock at Portsmouth, N.H., Charlestown, Mass., Brooklyn, N.Y., and Gosport, Va. January 10, 1827. Read, and referred to the Committee on Naval Affairs.",1827,106.0,Construction
1062,"  In the Senate of the United States. February 4, 1863. -- Ordered to be printed. Mr. Rice, from the Committee on Military Affairs, submitted the following report. (To accompany Bill S. No. 495.) The Committee on Military Affairs have had under consideration the memorial and joint resolutions of the Corporation of the City of Washington relative to a railroad from the waters of the Chesapeake to Washington and thence, by the way of the Point of Rocks, to Hagerstown  also a connecting link of road between Cumberland and Connellsville -- this latter forming with the first-named roads and the intermediate road a line which shortens the distance between the capital and Pittsburg, as well as to all points west, one hundred and ten miles, as shown by accompanying map ...",1863,106.0,Construction
1063,"  Monroe Railroad Company of Georgia. (To accompany Bill H.R. No. 302.) May 22, 1850.",1850,106.0,Construction
1064,"  Delaware and Hudson Canal. Memorial of the Delaware and Hudson Canal Company. April 7, 1828. Referred to the Committee of Ways and Means. April 14, 1828. Bill reported, No. 268.",1828,106.0,Construction
1065,"  Permanent construction at Army posts. April 19 (calendar day, April 26), 1926. -- Ordered to be printed.",1926,106.0,Construction
1066,"  Message from the President of the United States, in relation to the works on the Pea Patch Island, in the Delaware River. December 26, 1838. Referred to the Committee on Military Affairs, and ordered to be printed.",1838,106.0,Construction
1067,"  European and North American Railway. Resolutions of the Legislature of Maine, in support of the memorial to Congress asking the assistance of the United States government in behalf of the European and North American Railway. April 12, 1852. Referred to two committees, Public Lands and Post Office and Post Roads, and ordered to be printed.",1852,106.0,Construction
1069,"  Message from the President of the United States, upon the subject of Commodore Rodgers' marine rail-way, or inclined plane. January 27, 1823. Read, and referred to the Committee on Naval Affairs.",1823,106.0,Construction
1070,"  F.G. Proudfoot. January 12, 1927. -- Committed to the Committee of the Whole House and ordered to be printed.",1927,107.0,Construction
1071,"  Ebenezer A. Lester. (To accompany Bill H.R. No. 17.) December 14, 1837. -- Reprinted.",1837,107.0,Construction
1072,"  Report of the Committee of Claims, on the petition of Nimrod Farrow and Richard Harris, accompanied with a bill for their relief. February 16, 1825. Read, and, with the bill, committed to a Committee of the Whole House to-morrow.",1825,107.0,Construction
1073,"  Railroad communication between New York and Washington City. (To accompany Bill H.R. No. 396.) Proposition of the Metropolitan Railroad Company to build the Metropolitan Railroad, making direct communication between Washington City and New York. April 10, 1862. -- Ordered to be printed.",1862,107.0,Construction
1074,"  Letter of the Secretary of War, communicating, in compliance with a resolution of the Senate of the 9th instant, a copy of the report of the commission relative to improvements at Rock Island. February 15, 1867. -- Read, referred to the Committee on Military Affairs and the Militia, and ordered to be printed.",1867,107.0,Construction
1075,"  William Geiger. (To accompany Bill H.R.C.C. No. 96.) February 11, 1860. -- The Court of Claims submitted the following report which, together with the accompanying bill, was referred to the Committee of Claims. March 1, 1860. -- Ordered to be printed.",1860,107.0,Construction
1076,"  Petition of the Mississippi City Company, praying a grant of land to aid in the construction of a railroad. January 10, 1839. Referred to the Committee on Public Lands, and ordered to be printed.",1839,107.0,Construction
1077,"  Gulf, Florida & Alabama Railway Co. February 21, 1927. -- Committed to the Committee of the Whole House and ordered to be printed.",1927,107.0,Construction
1078,"  Nehemiah Garrison, assignee of Moses Perkins. (To accompany Bill H.R.C.C. No. 100.) May 2, 1860. -- Committed to a Committee of the Whole House, and ordered to be printed.",1860,107.0,Construction
1079,"  Stephen H. Webb. February 28, 1843. Printed by order of the House of Representatives.",1843,107.0,Construction
1080,"  Pacific Railroad. Joint resolution of the Legislature of Iowa, recommending certain changes in the act of Congress approved July 1, 1862, establishing a Pacific Railroad and branches. March 14, 1864. -- Referred to the Select Committee on the Pacific Railroad and ordered to be printed.",1864,108.0,Construction
1081,"  Pacific railroad. Resolutions of the Legislature of Maine, in relation to the People's Pacific Railroad Company. April 21, 1862. -- Laid on the table, and ordered to be printed.",1862,108.0,Construction
1082,"  Defences for the northern frontier of Maine. Resolutions of the Legislature of Maine, in relation to the defences of the northern frontier of that state. April 25, 1864. -- Ordered to be printed and referred to a select committee of seven members on that subject, viz : Mr. John H. Rice, Mr. Alley, Mr. Cox, Mr. Hale, Mr. Patterson. Mr. Radford, and Mr. Driggs.",1864,108.0,Construction
1083,"  Report of the Committee of Claims, in the case of Gilbert C. Russell, accompanied by a bill for his relief. February 7, 1825. Read, and, with the bill, committed to a Committee of the Whole House to-morrow.",1825,108.0,Construction
1084,"  Fort Livingston, Grand Terre, Louisiana. Letter from the Secretary of War, transmitting the information required by a resolution of the House of Representatives of the 31st ultimo, in relation to the progress made, &c., in the completion of Fort Livingston, &c. January 9, 1839. Read, and laid upon the table.",1839,108.0,Construction
1085,"  Message from the President of the United States, transmitting, in compliance, in part, with a resolution of the Senate, a report from the Secretary of War respecting the defences of the country. December 13, 1841. Read, and ordered to be printed.",1841,108.0,Construction
1086,"  Report of the Secretary of War, made in compliance with a resolution of the Senate, on the expediency of promptly completing the fortifications at the Tortugas and Key West. 1854, May 22. -- Ordered to be printed.",1854,108.0,Construction
1087,"  Railroad to the Pacific. (To accompany Bill H.R. No. 368.) August 1, 1850.",1850,108.0,Construction
1088,"  Military roads in Washington Territory. (To accompany Bill H.R. No. 58.) May 10, 1858.",1858,108.0,Construction
1089,"  Construction at military posts, and for other purposes. March 22, 1926. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1926,108.0,Construction
1090,"  Barracks, store houses, hospitals, &c. Letter from the Secretary of War, transmitting to the Chairman of the Military Committee, a report of the Quartermaster General upon the subject of barracks, storehouses, hospitals, &c. January 25, 1827. Laid before the House by the Chairman of the Military Committee, and ordered to be printed.",1827,109.0,Construction
1091,"  Memorial of Asa Whitney, of the City of New York, praying a grant of land, to enable him to construct a railroad from Lake Michigan to the Pacific Ocean. January 28, 1845. Referred to the Committee on Roads and Canals, and ordered to be printed.",1845,109.0,Construction
1092,"  Appropriations -- Army for 1839. (To accompany Bill H.R. No. 897.) December 21, 1838. Laid before the House by the Chairman of the Committee of Ways and Means, and ordered to be printed.",1838,109.0,Construction
1093,"  Message from the President of the United States, transmitting, pursuant to a resolution of the House of Representatives of the 21st December, 1819, a report of the Secretary of War of the expenditures on fortifications from the year 1816 to the year 1819, both inclusive  the places at which works of defence have been begun  their contemplated magnitude and present condition  and the estimated sum for the completion of each  also, the mode by which they are built -- whether by contract, or otherwise. January 20, 1820. Read, and ordered to lie upon the table.",1820,109.0,Construction
1094,"  National railroad. Resolutions of the State of California, in relation to a national railroad from the Pacific Ocean to the Mississippi River. September 16, 1850. Laid upon the table, and ordered to be printed.",1850,109.0,Construction
1096,"  Railroad to the Pacific. Resolutions of the Legislature of Pennsylvania, relative to Whitney's plan of a railroad from Lake Michigan to the Pacific Ocean. January 28, 1850. Referred to the Committee on Roads and Canals, and ordered to be printed.",1850,109.0,Construction
1097,"  Pea-Patch Island. Message from the President of the United States, in relation to the present state of the Pea-Patch Island, in the Delaware River. December 26, 1838. Referred to the Committee on the Judiciary.",1838,109.0,Construction
1098,  Barnum jail cells.,1916,109.0,Construction
1099,  Panama in pictures : graphic views of the great new waterway from Atlantic to Pacific : with a full description of the canal and history of the undertaking,1913,109.0,Construction
1101,"  Documents relating to internal improvements in the State of Illinois. February 23, 1839. Submitted by Mr. Young, and ordered to be printed, and that 300 additional copies be printed for the use of the Senate.",1839,110.0,Construction
1102,"  Bureau of Foreign and Domestic Commerce. Communication from the President of the United States, transmitting a supplemental estimate of appropriations of the Department of Commerce for the fiscal year ending June 30, 1927, amounting in all to $ 119,000. January 29, 1926. -- Referred to the Committee on Appropriations and ordered to be printed.",1926,110.0,Construction
1103,"  Completion of road from Taholah to Moclips, Wash. January 21, 1926. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1926,110.0,Construction
1104,"  Authorizing Secretary of the Interior to negotiate with irrigation districts. March 2 (calendar day, March 3), 1927. -- Ordered to be printed.",1927,110.0,Construction
1105,"  Florence Proud. February 1 (calendar day, February 4), 1926. -- Ordered to be printed.",1926,110.0,Construction
1106,"  In Senate of the United States. January 25, 1839. Read, and ordered to be printed. Mr. Young, from the Committee on Roads and Canals, reported the following resolution : ... Resolved, That the Secretary of War be instructed to cause an estimate to be made of the sums that will be necessary to complete the construction of the Cumberland Road ...",1839,110.0,Construction
1107,"  John Krepps. (To accompany Bill H.R. No. 44.) December 14, 1837. -- Reprinted.",1837,110.0,Construction
1108,"  Providing for a driveway to the post office building at Bristol, R.I., and improvements and repairs to the building. May 6 (calendar day, May 8), 1926. -- Ordered to be printed.",1926,110.0,Construction
1109,"  Ohio River -- falls at Louisville. Message from the President of the United States, transmitting a report from the Secretary of War, &c., as to the best mode of improving the navigation of the Ohio River at the falls at Louisville. May 3, 1852. Referred to the Committee on Roads and Canals.",1852,110.0,Construction
1114,  Electric tramway traction,2010,111.0,Construction
1115,"  To authorize the construction and procurement of aircraft and aircraft equipment in the Navy and Marine Corps and to adjust and define the status of the operating personnel in connection therewith. May 17 (calendar day, May 18), 1926. -- Ordered to be printed.",1926,111.0,Construction
1116,"  Survey of the island of Nantucket. Letter from the Secretary of War, transmitting a report and plan of the survey of the island of Nantucket. January 22, 1828. Read, and laid upon the table.",1828,111.0,Construction
1117,"  Appropriations, Department of the Interior. Communication from the President of the United States transmitting supplemental estimate of appropriations for the fiscal year ending June 30, 1927, to remain available until June 30, 1928, for the Department of the Interior, Bureau of Reclamation, amounting to $ 135,000. February 14, 1927. -- Referred to the Committee on Appropriations and ordered to be printed.",1927,111.0,Construction
1118,"  Driveway and repairs incident thereto, post office building, Bristol, R.I. June 3, 1926. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1926,111.0,Construction
1119,"  Report of the Committee on Roads and Canals, to which was referred a report of a select committee, made 12th May, 1820, relative to carrying into effect the Treaty of Brownstown, of 25th November, 1808, accompanied with ""A Bill for Laying Out and Making a Road from the Lower Rapids of the Miami of Lake Erie to the Connecticut Western Reserve, in the State of Ohio,"" &c. March 8, 1822. Read, and, with the bill, committed to a Committee of the Whole House to-morrow.",1822,111.0,Construction
1121,"  Completion of road from Tucson to Ajo via Indian Oasis, Ariz. May 10, 1926. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1926,112.0,Construction
1122,"  Survey, etc., of road from Mendota to Big Sioux River. Letter from the Secretary of War, transmitting report of the survey, &c., of road from Mendota to the Big Sioux River. April 28, 1854. -- Ordered to be printed.",1854,112.0,Construction
1124,"  Use of United States land for highway purposes in the District of Columbia. February 25, 1927. -- Ordered to be printed.",1927,112.0,Construction
1125,"  Documents in relation to the claim of Loomis and Gay, for compensation for extra work done by them on the Cumberland Road. December 19, 1838. Ordered to be printed.",1838,112.0,Construction
1126,"  Conveyance of land, Oshkosh, Wis. April 28, 1926. -- Committed to the Committee of the Whole House on the State of the Union and ordered to be printed.",1926,112.0,Construction
1128,"  Report of the Committee on Roads and Canals, to which was referred a report of a select committee made 12th May, 1820, relative to carrying into effect the Treaty of Brownstown of 25th November, 1808, accompanied with ""A Bill for Laying Out and Making a Road from the Lower Rapids of the Miami of Lake Erie to the Connecticut Western Reserve, in the State of Ohio,"" &c. March 8, 1822. Read, and, with the bill, committed to a Committee of the Whole House to-morrow. Dec. 19, 1822. Ordered to be re-printed.",1822,112.0,Construction
1130,"  Message from the President of the United States, transmitting a memorial of the Legislative Council of Florida. February 3, 1823. Read, and ordered to lie on the table.",1823,113.0,Construction
1131,"  Supervising Architect, Treasury Department. Communication from the President of the United States transmitting supplemental estimate of appropriation for the Treasury Department for the fiscal year ending June 30, 1927, pertaining to the Office of the Supervising Architect, $ 32,569.28. December 20, 1926. -- Referred to the Committee on Appropriations and ordered to be printed.",1926,113.0,Construction
1132,"  John M. Oliver. (To accompany Bill H.R. No. 51.) December 14, 1837. -- Reprinted.",1837,113.0,Construction
1135,"  Report of the main drainage committee on the evidence given before a committee of the House of Commons, on the sewage of the metropolis, and some statements which have been made in the metropolitan vestries & district boards in reference thereto. Approved by the Board, 16th January, 1865.",1865,113.0,Construction
1138,"  Hospital construction [Papers read at the meeting of the National Association for the Promotion of Social Science held at Liverpool between October 11th and 16th, 1858, under the Presidency of Lord Russell.]",1858,113.0,Construction
1139,"  A short account of the methods made use of in laying the foundation of the piers of Westminster-Bridge. With an answer to the chief objections that have been made thereto. Drawn up by order of the Right Hon. &c. the Commissioners appointed by act of Parliament for building a bridge at Westminster. To which are annex'd, the plans, elevations and sections belonging to a design of a stone-bridge, adapted to the stone piers which are to support Westminster-Bridge, with an explanation of that design.",1739,113.0,Construction
1140,  Metropolitan Communications and Thames Bridges.,1857,114.0,Construction
1141,"  Gephyralogia. An historical account of bridges, antient and modern, from the most early mention of them by authors, down to the present time. Including a more particular history and description of the new bridge at Westminster. And an abstract of the rules of bridge-building, by the most eminent architects. With remarks, comparative and critical, deduced both from the history and the rules, and applied to the construction of Westminster-bridge. To which is added, by way of appendix, an abridgment of all the laws relating thereto.",1751,114.0,Construction
1142,"  The Lower Ganges Bridge : progress of construction, January 1914.",1914,114.0,Construction
1145,"  E.G. Chambers and others (To accompany Bill H.R. No. 352.) February 1, 1852 [1853].",1853,114.0,Construction
1146,"  Report of a select committee on the subject of erecting monuments to the memories of the late Generals Wooster and Davidson, accompanied by a bill making an appropriation to effect the objects aforesaid. February 17, 1825. Read, and, with the bill, committed to a Committee of the Whole House to-morrow.",1825,114.0,Construction
1147,"  Completion of Dam No. 2 and the steam plant at Muscle Shoals. February 26, 1927. -- Ordered to be printed.",1927,114.0,Construction
